name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_42,b,n,n,m,h,"['Student_72', 'Student_01']",2,1
Student_43,b,n,n,h,h,"['Student_39', 'Student_37']",1,1
Student_44,g,n,n,m,l,"['Student_27', 'Student_57']",5,1
Student_45,g,n,n,m,m,"['Student_76', 'Student_79']",3,1
Student_46,b,y,n,h,m,"['Student_85', 'Student_42']",3,1
Student_47,g,n,n,l,m,"['Student_61', 'Student_58']",4,1
Student_48,g,y,n,h,m,"['Student_58', 'Student_88']",1,1
Student_49,g,n,n,l,m,"['Student_28', 'Student_67']",5,1
Student_50,b,n,n,m,m,"['Student_62', 'Student_22']",1,1
Student_51,g,n,n,h,h,"['Student_86', 'Student_11']",2,1
Student_52,b,n,n,l,h,"['Student_37', 'Student_67']",3,1
Student_53,g,n,n,m,m,"['Student_86', 'Student_83']",2,1
Student_54,g,n,y,l,h,"['Student_81', 'Student_43']",1,1
Student_55,g,n,n,l,m,"['Student_12', 'Student_31']",5,0
Student_56,b,y,n,m,h,"['Student_88', 'Student_40']",1,1
Student_57,b,n,y,m,h,"['Student_29', 'Student_26']",5,1
Student_58,b,n,y,h,h,"['Student_19', 'Student_04']",3,1
Student_59,g,n,n,l,l,"['Student_06', 'Student_32']",4,0
Student_60,b,n,n,h,m,"['Student_62', 'Student_80']",1,1
Student_61,g,y,n,m,m,"['Student_10', 'Student_59']",4,1
Student_62,b,n,n,m,m,"['Student_54', 'Student_82']",1,1
Student_63,g,y,n,l,h,"['Student_75', 'Student_25']",5,1
Student_64,g,n,y,l,h,"['Student_50', 'Student_65']",3,1
Student_65,g,y,n,l,m,"['Student_52', 'Student_32']",3,1
Student_66,b,y,n,m,m,"['Student_19', 'Student_85']",3,1
Student_67,b,n,n,h,m,"['Student_90', 'Student_01']",4,1
Student_68,b,n,n,h,l,"['Student_14', 'Student_55']",5,1
Student_69,b,n,n,l,l,"['Student_29', 'Student_23']",1,1
Student_70,b,n,n,m,m,"['Student_67', 'Student_60']",4,1
Student_71,g,n,n,m,m,"['Student_07', 'Student_73']",5,1
Student_72,b,n,n,m,m,"['Student_32', 'Student_16']",2,1
Student_73,b,n,n,m,m,"['Student_59', 'Student_18']",5,1
Student_74,g,n,n,m,h,"['Student_60', 'Student_87']",1,1
Student_75,g,n,n,h,l,"['Student_68', 'Student_72']",5,1
Student_76,b,n,n,m,l,"['Student_78', 'Student_41']",3,1
Student_77,b,n,n,l,h,"['Student_57', 'Student_80']",4,1
Student_78,g,n,n,h,m,"['Student_65', 'Student_55']",3,1
Student_79,b,n,n,m,h,"['Student_71', 'Student_58']",5,1
Student_80,b,n,n,m,h,"['Student_21', 'Student_61']",4,1
Student_81,g,n,n,m,l,"['Student_58', 'Student_34']",3,1
Student_82,b,n,n,m,l,"['Student_32', 'Student_83']",4,1
Student_83,g,n,n,m,h,"['Student_36', 'Student_67']",4,1
Student_84,g,n,n,h,l,"['Student_63', 'Student_81']",1,0
Student_85,g,n,n,m,l,"['Student_31', 'Student_36']",3,1
Student_86,g,n,n,h,l,"['Student_57', 'Student_10']",2,1
Student_87,g,n,n,h,m,"['Student_37', 'Student_31']",2,1
Student_88,g,y,n,l,l,"['Student_35', 'Student_43']",1,1
Student_89,g,n,n,l,m,"['Student_41', 'Student_70']",4,1
Student_90,b,n,y,h,h,"['Student_11', 'Student_18']",4,1
