name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_59,g,n,n,l,m,"['Student_08', 'Student_34']",4,1
Student_60,b,n,n,m,m,"['Student_16', 'Student_56']",1,1
Student_61,b,n,n,h,h,"['Student_03', 'Student_35']",1,1
Student_62,g,n,n,l,h,"['Student_79', 'Student_72']",5,1
Student_63,b,y,n,l,h,"['Student_38', 'Student_57']",5,1
Student_64,b,n,y,h,m,"['Student_33', 'Student_84']",2,1
Student_65,g,y,n,h,l,"['Student_13', 'Student_86']",3,1
Student_66,b,y,n,m,l,"['Student_88', 'Student_04']",5,1
Student_67,b,n,y,h,h,"['Student_75', 'Student_38']",2,1
Student_68,b,y,n,l,l,"['Student_36', 'Student_70']",4,1
Student_69,b,n,n,l,l,"['Student_73', 'Student_70']",2,1
Student_70,g,y,y,h,l,"['Student_08', 'Student_50']",4,1
Student_71,g,n,y,m,h,"['Student_65', 'Student_35']",3,1
Student_72,b,n,n,h,m,"['Student_86', 'Student_08']",5,1
Student_73,g,n,n,l,l,"['Student_42', 'Student_79']",2,0
Student_74,g,n,n,l,h,"['Student_29', 'Student_33']",2,1
Student_75,g,y,n,h,h,"['Student_38', 'Student_85']",2,1
Student_76,g,n,y,l,l,"['Student_39', 'Student_24']",1,1
Student_77,b,n,n,l,l,"['Student_41', 'Student_13']",3,1
Student_78,b,n,n,l,h,"['Student_64', 'Student_60']",1,1
Student_79,g,y,n,m,m,"['Student_38', 'Student_66']",5,1
Student_80,b,n,n,m,l,"['Student_02', 'Student_20']",2,1
Student_81,g,n,y,l,h,"['Student_53', 'Student_70']",4,1
Student_82,g,n,y,l,l,"['Student_63', 'Student_28']",5,1
Student_83,b,n,n,l,h,"['Student_34', 'Student_66']",4,1
Student_84,g,n,n,m,l,"['Student_08', 'Student_67']",5,1
Student_85,g,n,y,h,h,"['Student_30', 'Student_47']",2,1
Student_86,b,n,n,l,h,"['Student_83', 'Student_52']",3,1
Student_87,g,y,y,h,m,"['Student_23', 'Student_34']",1,1
Student_88,g,n,n,h,h,"['Student_51', 'Student_52']",4,1
Student_89,g,y,n,l,m,"['Student_19', 'Student_51']",3,1
Student_90,g,n,y,l,h,"['Student_89', 'Student_30']",3,1
